Cabor,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total,Gold,Silver,Bronze,Total
Archery,1,0,2,3,3,1,1,5,1,3,2,6,1,0,1,2,0,2,0,2,1,0,0,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletics,14,20,14,48,7,7,7,21,6,6,4,16,7,3,4,14,2,1,0,3,7,4,11,22,2,5,2,9,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Badminton,1,2,4,7,4,2,2,8,2,2,5,9,0,0,0,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beach volleyball,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billiards and snooker,2,0,3,5,0,3,2,5,0,2,1,3,3,1,2,6,2,1,2,5,3,1,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boxing,7,0,3,10,0,3,6,9,2,0,1,3,5,1,3,9,0,0,1,1,0,5,3,8,0,1,3,4,1,4,5,10,0,1,4,5,0,0,0,0,0,0,1,1
Cycling,3,5,2,10,3,1,1,5,0,1,2,3,0,0,0,0,0,0,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diving,0,0,3,3,1,3,1,5,6,1,2,9,0,4,1,5,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fin swimming,2,3,3,8,3,5,6,14,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,19,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Football,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golf,2,2,0,4,0,0,1,1,0,0,2,2,2,0,1,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judo,4,6,4,14,1,1,6,8,0,1,3,4,2,1,4,7,0,1,2,3,7,1,5,13,2,2,5,9,2,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0
Karate,0,0,7,7,3,3,6,12,5,6,2,13,1,2,3,6,0,1,1,2,6,4,1,11,0,1,2,3,2,0,7,9,0,0,0,0,0,0,4,4,0,0,1,1
Muay,6,2,1,9,0,0,0,0,0,0,0,0,1,3,5,9,0,0,0,0,1,5,3,9,0,0,5,5,5,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0
Pencak silat,2,4,4,10,2,3,3,8,4,0,6,10,0,1,1,2,1,2,5,8,6,4,1,11,0,1,1,2,1,2,4,7,0,0,0,0,1,0,3,4,0,0,0,0
Petanque,5,1,5,11,0,0,0,0,0,2,1,3,0,0,1,1,0,0,0,0,2,4,4,10,0,0,0,0,2,1,6,9,2,3,5,10,0,0,0,0,0,0,0,0
Sepak Takraw,5,1,0,6,0,0,5,5,0,1,1,2,0,0,4,4,0,0,0,0,0,4,0,4,3,1,1,5,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0
Shooting,10,8,12,30,1,1,3,5,0,6,5,11,1,0,0,1,6,5,5,16,11,12,8,31,2,1,0,3,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Shuttlecock,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,3,1,7,0,0,7,7,0,0,0,0,0,0,0,0
Swimming,2,9,8,19,2,3,2,7,9,5,6,20,4,6,1,11,14,8,11,33,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Table tennis,0,2,4,6,0,0,1,1,0,0,3,3,0,0,1,1,6,4,2,12,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taekwondo,6,3,4,13,1,3,6,10,1,0,6,7,4,4,4,12,0,0,2,2,5,4,2,11,1,1,5,7,3,3,4,10,0,3,4,7,0,0,0,0,0,0,1,1
Tennis,4,2,3,9,1,2,3,6,0,0,1,1,2,3,5,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Volleyball,2,2,0,4,2,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water polo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weightlifting,4,4,0,8,5,1,1,7,0,3,2,5,0,1,1,2,0,0,0,0,2,2,2,6,1,2,5,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Wrestling,3,2,4,9,2,4,6,12,0,0,0,0,3,2,4,9,0,1,0,1,7,6,0,13,0,0,0,0,2,0,5,7,1,3,3,7,0,0,0,0,0,0,0,0
Wushu,1,0,6,7,2,6,3,11,3,1,3,7,2,2,4,8,1,1,0,2,7,6,1,14,0,3,4,7,5,2,4,11,0,0,2,2,0,1,1,2,0,0,0,0
