Cabor,Malaysia,,,,Vietnam,,,,Kamboja,,,,Indonesia,,,,Singapore,,,,Laos,,,,Timor Leste,,,,Thailand,,,,Filip,,,,Myanmar,,,,Brun,,,
,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,Emas,Perak,Perunggu,Total,,,,,Emas,Perak,Perunggu,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total,Gold,Bronze,Medal,Total
Archery,5,3,2,10,1,2,2,5,0,0,0,0,4,1,1,6,0,1,0,1,,,,0,,,,0,0,1,1,2,0,1,4,7,0,1,0,1,,,,
Athletics,8,8,9,25,17,11,6,34,0,0,0,0,5,7,3,15,2,2,4,8,0,0,1,1,,,,0,9,13,11,33,5,3,10,5,0,0,1,1,,,,
Badminton,1,5,2,8,0,0,2,2,0,0,0,0,2,0,4,6,0,0,2,2,,,,0,,,,0,4,2,4,10,,,,,,,,,,,,
Basketball,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,,,,0,,,,0,0,1,1,2,1,0,0,18,,,,,,,,
Billiards and snooker,0,0,3,3,0,1,2,3,0,0,0,0,0,0,1,1,3,0,1,4,1,0,1,2,,,,0,1,2,1,4,2,1,2,1,0,3,3,6,,,,
Bowling,7,4,3,14,0,0,0,0,0,0,0,0,1,2,3,6,2,3,2,7,,,,0,,,,0,1,2,2,5,0,0,1,5,,,,,,,,
Boxing,1,1,1,3,0,0,1,1,0,0,1,1,1,1,1,3,0,0,3,3,0,0,2,2,,,,0,2,3,1,6,2,1,2,1,,,,,,,,
Cricket,1,1,1,3,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,,,,0,,,,0,1,0,1,2,,,,,,,,,,,,
Cycling,13,10,3,26,2,0,2,4,0,0,0,0,2,2,7,11,1,1,1,3,,,,0,,,,0,2,7,6,15,0,0,1,5,,,,,,,,
Diving,12,4,1,17,0,0,2,2,0,0,0,0,0,1,3,4,1,6,5,12,,,,0,,,,0,0,0,2,2,,,,,,,,,,,,
Equestrian,6,2,1,9,0,0,0,0,0,0,1,1,,,,0,0,0,2,2,,,,0,,,,0,0,2,2,4,0,1,0,1,,,,,,,,
Fencing,0,0,1,1,3,0,3,6,0,0,0,0,0,0,1,1,2,0,3,5,,,,0,,,,0,0,3,2,5,1,3,2,1,,,,,,,,
Field hockey,2,0,0,2,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,,,,0,,,,0,0,1,0,1,,,,,0,1,0,1,,,,
Football,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,,,,0,,,,0,1,1,0,2,,,,,0,0,1,1,,,,
Futsal,0,1,0,1,0,1,1,2,0,0,0,0,0,0,1,1,,,,0,,,,0,,,,0,2,0,0,2,,,,,,,,,,,,
Golf,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,2,,,,0,,,,0,3,2,1,6,0,0,1,6,,,,,,,,
Gymnastics,13,9,2,24,5,4,0,9,0,0,0,0,1,2,6,9,0,2,4,6,,,,0,,,,0,0,1,6,8,2,1,3,1,,,,,,,,
Ice hockey,0,0,1,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,,,,0,0,1,0,1,1,0,0,6,,,,,,,,
Ice skating (figure),1,0,1,2,0,0,0,0,0,0,0,0,,,,0,1,1,0,2,,,,0,,,,0,,,,,0,1,1,2,,,,,,,,
Indoor hockey,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,,,,0,,,,0,1,0,0,1,0,0,0,1,,,,,,,,
Judo,0,1,3,4,1,1,2,4,0,0,0,0,2,1,1,4,0,0,1,1,0,0,1,1,,,,0,1,2,1,4,2,0,3,5,0,1,0,1,,,,
Karate,7,2,4,13,5,3,6,14,0,0,0,0,3,3,7,13,0,0,0,0,,,,0,,,,0,1,5,5,11,0,3,4,7,0,0,4,4,0,0,1,1
Lawn bowls,7,1,0,8,0,0,0,0,0,0,0,0,,,,0,0,1,1,2,,,,0,,,,0,0,0,4,4,1,3,2,6,,,,,0,3,1,4
